nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis
5_8S_rRNA,159.99999999999997,102.27263821978535,6450.0,13.639405871370109,0.3333333333333334,2.6587309066301006,504.8128366038248,506.3978101634769,54.645207412445586,64.18853765578264,102.27263821978535,163.75071581778272,6436.36059412863,256438.7421383648,99.56217816200008,49.78108908100004,3.1550802287739055,0.3430619682846071,0.2771330682376195,
5_8S_rRNA,155.00000000000003,95.65903955367978,6093.0,14.379197453063037,0.33333333333333326,2.585537051615117,484.09296627817264,485.662153428417,49.464808997276954,60.79341957075197,95.65903955367978,148.27695851660658,6078.620802546937,235867.72727272726,87.4835389458546,43.7417694729273,3.1231804276011133,0.3677452343661281,0.2495321009556677,
5_8S_rRNA,151.99999999999994,111.841909112931,5806.0,8.38770643290106,0.3333333333333334,2.569924570543512,464.87202540053966,466.40879661828194,44.40202025355334,67.47843139619556,111.841909112931,149.6627965260356,5797.612293567099,217537.1655629139,82.18436512984005,41.09218256492002,3.0583685881614464,0.25915578068481243,0.23793668829078435,
5_8S_rRNA,154.99999999999994,96.09383845431474,6043.0,21.155805447329797,0.3333333333333334,2.5659955928700486,479.5706413032391,481.12516933894506,54.45374334000591,64.01939629914405,96.09383845431474,153.92958376837953,6021.84419455267,231481.42857142858,89.91018746923548,44.95509373461774,3.0940041374402534,0.36849312576103693,0.2840975359659813,
5_8S_rRNA,157.00000000000003,107.80647296617603,6249.0,14.476163269082377,0.3333333333333333,2.613525828188527,492.09348705301915,493.66819023639965,55.70789859499946,71.3560860368378,107.80647296617603,152.3175603895378,6234.5238367309175,243708.28205128206,80.9614743527,40.48073717635,3.1343534207198664,0.299903544721313,0.2485740766136723,
5_8S_rRNA,155.0,95.12449082632804,6051.0,17.271486212786158,0.3333333333333333,2.595447170568798,480.8783629983783,482.4371300134189,49.062986023499164,75.46152721749554,95.12449082632804,141.72624608283343,6033.728513787214,232745.58441558442,66.26471886533788,33.13235943266894,3.1024410516024408,0.3735383858841277,0.20206472642645254,
5_8S_rRNA,149.99999999999991,100.96137331528196,5676.0,8.0,0.33333333333333354,2.5931793414916617,459.42355185601883,460.9626635435977,31.05984550118757,55.79979777556268,100.96137331528196,146.111625114109,5668.0,212486.57718120806,90.31182733854631,45.155913669273154,3.062823679040127,0.3202184116591813,0.2396208438883604,
5_8S_rRNA,155.00000000000003,88.50604703713259,6565.0,14.747886726626156,0.33333333333333326,2.6502613023851254,522.4308566690908,524.1243160752024,34.9265968811548,59.237577277595776,88.50604703713259,155.61531112143282,6550.252113273374,274706.2987012987,96.37773384383705,48.188866921918525,3.3705216559296174,0.3818339907417733,0.2361277509132162,
5_8S_rRNA,155.99999999999997,99.12723377224006,6238.0,16.60388945261634,0.33333333333333337,2.624911782242459,493.91902170295083,495.50974730818297,48.087961717960646,57.787772628531556,99.12723377224006,170.97079468820397,6221.396110547384,245529.90967741935,113.18302205967241,56.591511029836205,3.166147575018916,0.34543779685790627,0.34405120894641517,
5_8S_rRNA,153.00000000000006,102.02837052691841,5937.0,14.58857445474681,0.3333333333333332,2.5824857694266323,474.72518365892495,476.2842196574823,46.32551430211514,59.19098385157913,102.02837052691841,145.9564552801304,5922.411425545253,226846.65789473685,86.76547142855128,43.38273571427564,3.102778978162907,0.3221124424886409,0.23867169396799612,
5_8S_rRNA,152.99999999999997,96.85021589918392,5999.0,24.38636688536294,0.33333333333333337,2.561387509584908,479.117939551422,480.69140171653845,47.356977048622625,60.65668829102991,96.85021589918392,152.07350104934184,5974.613633114637,231064.22368421053,91.41681275831193,45.70840637915597,3.1314898009896868,0.35158222724901556,0.3216689624679883,
5_8S_rRNA,154.00000000000003,99.4017203966239,6046.0,8.19224041867898,0.3333333333333333,2.6160809597268657,482.6820899929892,484.2569133940523,44.122947037138246,58.26819689664261,99.4017203966239,145.3716046251852,6037.807759581321,234504.75816993465,87.10340772854259,43.551703864271296,3.13429928566876,0.339343104303927,0.23013570791045287,
5_8S_rRNA,153.99999999999994,91.8090279003057,6084.0,10.210191029263905,0.3333333333333335,2.6339079275570416,486.672374395753,488.2602167038456,46.48075001856575,55.96426788671896,91.8090279003057,152.01969075838824,6073.789808970736,238398.03921568627,96.05542287166928,48.02771143583464,3.160210223349047,0.3833645099143538,0.24747781453157394,
5_8S_rRNA,162.0,104.63836238928728,6790.0,4.428348076708646,0.3333333333333333,2.689408969119419,527.4713262348959,529.1069001640805,55.67586746483846,66.77271708048033,104.63836238928728,163.40478787661158,6785.571651923291,279954.1118012422,96.63207079613125,48.31603539806562,3.2559958409561474,0.3262450568839159,0.2566626373775439,
5_8S_rRNA,161.0,111.45074720357998,6709.0,15.217255523701617,0.3333333333333333,2.6267084504343496,520.8953829705156,522.5206455251314,59.80595999143152,76.15523767884122,111.45074720357998,160.9119198747544,6693.782744476299,273027.825,84.75668219591319,42.37834109795659,3.235375049506308,0.28536969850177,0.29583374069135415,
5_8S_rRNA,155.00000000000006,97.44769972905213,6271.0,28.99143067832867,0.3333333333333332,2.5987221708878816,497.30875721225743,498.92078334335605,54.75789264866007,67.4563406070946,97.44769972905213,142.06291514070466,6242.0085693216715,248921.94805194804,74.60657453361006,37.30328726680503,3.2084435949177887,0.34718250645876264,0.2309336212127892,
5_8S_rRNA,153.99999999999997,86.0314095980629,6094.0,16.999294321911563,0.3333333333333334,2.624592402364476,488.3441409498019,489.93743764939774,44.78820390447039,54.719263700606966,86.0314095980629,159.1377669822009,6077.000705678089,240038.69281045752,104.41850328159393,52.209251640796964,3.1710658503233895,0.4175452393249276,0.26169530197121577,
5_8S_rRNA,153.99999999999994,95.32442471502382,5974.0,16.323486388135457,0.3333333333333335,2.5975068264979937,475.5502076542496,477.10176220935085,44.78681177126309,63.476715054683325,95.32442471502382,154.37644695178938,5957.676513611865,227626.09150326796,90.89973189710605,45.449865948553025,3.0879883613912322,0.3701538197685095,0.27112878014740516,
5_8S_rRNA,146.0,102.66814882920305,5370.0,9.171714438340842,0.3333333333333333,2.5175324923481255,437.94520205158085,439.4527631435292,49.22415549701611,65.14919956820312,102.66814882920305,154.21984237232977,5360.828285561659,193118.73103448277,89.07064280412665,44.535321402063325,2.99962467158617,0.2968306374939577,0.290287384143905,
5_8S_rRNA,152.99999999999991,94.6590624672847,5979.0,14.528069622664027,0.33333333333333354,2.5741514298561006,478.1694260406033,479.73977321043543,54.86584294929487,68.79099628679035,94.6590624672847,135.46415886955947,5964.471930377336,230150.25,66.67316258276912,33.33658129138456,3.125290366278455,0.3660267743326688,0.21714280906583333,
5_8S_rRNA,159.99999999999997,96.0,6568.0,20.348293617267437,0.3333333333333334,2.611687557009852,513.5367562307493,515.1491205002695,49.23247825178292,70.45603822613523,96.0,158.38733344590452,6547.651706382732,265378.61635220126,87.93129521976928,43.96564760988464,3.209604726442184,0.3738778143345359,0.2593145194392611,
5_8S_rRNA,149.9999999999999,93.40547746001354,5742.0,13.929267128189522,0.3333333333333336,2.565616251354481,463.42205385587766,464.9745608975605,54.20673773379776,65.64737112051974,93.40547746001354,141.85554058179412,5728.070732871811,216201.3422818792,76.20816946127438,38.10408473063719,3.089480359039187,0.36636920104963544,0.19580216251270233,
5_8S_rRNA,156.00000000000006,101.56341055793337,6134.0,26.95017803033983,0.3333333333333332,2.6068998522867903,485.62125159428507,487.18525323304067,52.51502568755974,66.49584524322908,101.56341055793337,153.00702234100606,6107.04982196966,237349.47096774195,86.51117709777698,43.25558854888849,3.1129567409890058,0.3362904069582155,0.24765464335013435,
5_8S_rRNA,149.99999999999997,109.60497182154195,6154.0,15.518231223603683,0.33333333333333337,2.573261506448092,495.3382682571577,496.99769758963265,47.979046910583165,63.89677115177136,109.60497182154195,141.90450931997674,6138.481768776396,247006.71140939597,78.00773816820538,39.00386908410269,3.3022551217143854,0.24465116527693784,0.25768686613519237,
5_8S_rRNA,155.99999999999997,100.54224916435794,6920.0,3.889175647855367,0.33333333333333337,2.672386718334273,548.6984599941939,550.4656093679007,40.74942491543939,54.080156847858255,100.54224916435794,155.04995657323656,6916.110824352145,303012.3870967742,100.9697997253783,50.48489986268915,3.5172978204756022,0.30321436023109416,0.2789955890797753,
5_8S_rRNA,143.99999999999994,86.78535626766873,5398.0,12.90715795285847,0.3333333333333335,2.5214143028791343,444.5582076623938,446.10989896889976,52.58163469145679,59.362513580954,86.78535626766873,142.4859380243006,5385.092842047142,199014.04195804195,83.1234244433466,41.5617122216733,3.0872097754332914,0.38610001623756635,0.2536449036479235,
5_8S_rRNA,166.00000000000003,101.81136025263129,6994.0,14.0,0.3333333333333333,2.7177544896798174,538.3418987966662,539.9707736198658,58.764091738750054,72.82491923332987,101.81136025263129,147.0924504757338,6980.0,291568.43636363634,74.26753124240395,37.133765621201974,3.2430234867269045,0.35770189850082446,0.2060737591943195,
5_8S_rRNA,155.99999999999997,87.4588200738523,6512.0,4.7721705913112995,0.33333333333333337,2.6779213058034474,517.4823668493449,519.1489810412123,40.082018076927284,56.185405704730144,87.4588200738523,157.76087506407083,6507.227829408689,269515.664516129,101.57546935934069,50.78773467967034,3.317194659290673,0.3973537128044914,0.24230987728505402,
5_8S_rRNA,87.99999999999999,65.11472920443545,2012.0,2.501103472899035,0.33333333333333337,1.9301763316504015,209.19847035769646,210.39732527472546,31.66199936465956,37.09493020552186,65.11472920443545,82.54609165429474,2009.498896527101,44267.03448275862,45.45116144877288,22.72558072438644,2.377255344973824,0.3281850592373021,0.2959306458777346,
5_8S_rRNA,179.00000000000003,120.71918985954893,8031.0,7.141454961329041,0.33333333333333326,2.791516288911482,593.3936298950301,595.0581314252255,61.06313080845795,73.06820838598546,120.71918985954893,173.0250737431833,8023.858545038671,354094.1797752809,99.95686535719784,49.97843267859892,3.3150482117040783,0.29464831035055516,0.24580370074308966,
5_8S_rRNA,153.99999999999997,99.48656033842495,6102.0,4.147666480355684,0.3333333333333334,2.601859491579933,486.9661179178691,488.55491860867807,46.766709605114094,60.52291234545445,99.48656033842495,156.17114988980285,6097.852333519644,238685.90849673204,95.6482375443484,47.8241187721742,3.1621176488173326,0.33583510837258596,0.2664061758668944,
5_8S_rRNA,163.00000000000014,108.20225870994241,7319.0,7.076693627541893,0.33333333333333304,2.706345788827708,566.6780391015697,568.4243546098111,52.17611259743662,70.13345107233131,108.20225870994241,148.85833058223344,7311.923306372458,323106.2469135802,78.72487950990212,39.36243975495106,3.476552387126191,0.2900998671676208,0.19283878331524149,
5_8S_rRNA,164.0,102.5861812939095,7242.0,9.29668323494221,0.3333333333333333,2.7444767869555484,560.1499799160936,561.8656040862572,41.90356486083873,69.67652027332525,102.5861812939095,158.12647509590522,7232.703316765058,315692.95705521473,88.44995482257997,44.224977411289984,3.415548658024961,0.32891450990656024,0.22617627154713615,
5_8S_rRNA,156.00000000000003,99.7554135765821,6420.0,17.999999999999986,0.33333333333333326,2.6148027285904396,506.75240502636,508.38446208585344,52.0,74.66036337187853,99.7554135765821,155.97025146341517,6402.0,258454.76129032258,81.30988809153664,40.65494404576832,3.2484128527330762,0.33297081098505427,0.24961863467419393,
5_8S_rRNA,152.99999999999994,97.50386089319957,6033.0,24.312703136884878,0.3333333333333335,2.5712493903485907,482.45207015826975,484.03648187866344,50.86805366248239,67.55792032807757,97.50386089319957,148.2113918723531,6008.687296863115,234291.31578947368,80.65347154427552,40.32673577213776,3.153281504302418,0.34508799447328337,0.22373044476126144,
5_8S_rRNA,154.0,98.04559036176843,6348.0,24.89271949304885,0.33333333333333337,2.588050703616044,505.561074450951,507.2105440028947,53.14362402217186,62.850306444247465,98.04559036176843,146.6274487133373,6323.107280506951,257262.53594771243,83.77714226908982,41.88857113454491,3.28286411981137,0.33203353145215414,0.23286597208838186,
5_8S_rRNA,152.0,88.47829804087445,6418.0,10.270437947602263,0.3333333333333333,2.5929519079306504,515.0436874673837,516.7463158716155,44.12664780017186,61.89478040685569,88.47829804087445,152.7182233001052,6407.729562052397,267026.7549668874,90.8234428932495,45.41172144662475,3.3884453122854192,0.3699979448625795,0.2620922702404105,
5_8S_rRNA,158.0,102.29245553097788,6980.0,8.016224327821114,0.3333333333333333,2.6868571644480332,549.6962797763871,551.4441260942233,44.15992645735107,53.22949513115351,102.29245553097788,154.68540722819426,6971.983775672179,304090.62420382164,101.45591209704075,50.727956048520376,3.4790903783315636,0.3040272229512828,0.25954132082981446,
5_8S_rRNA,161.0,112.6476082332236,6723.0,13.203956677058523,0.3333333333333333,2.6510823178721448,523.2035932598324,524.8360577361277,50.67035858228342,69.30258626811502,112.6476082332236,164.74738224035053,6709.796043322942,275452.8875,95.44479597223551,47.722397986117755,3.2497117593778406,0.27724804869276043,0.2904523887939352,
